title,authors,pub_year,journal,keywords,dominant_topic,topic_name,what_this_paper_does
"Associations between digital literacy, health literacy, and digital health behaviors among rural residents: evidence from Zhejiang, China","Hao Ji, Junqiang Dong, Weiguang Pan, Yingying Yu",2024,International Journal for Equity in Health,"Health literacy, Digital health, Literacy, Diversity (politics), Public health, Environmental health, Medicine, Psychology, Health care, Political science, Nursing, Pedagogy, Law",8,Machine Learning in Clinical Data Analysis,The findings suggest that policymakers should implement targeted measures aimed at enhancing digital literacy and health literacy among rural residents.
AI-Driven Natural Language Processing in Healthcare: Transforming Patient-Provider Communication,"Prakash Nathaniel Kumar Sarella, Vinny Therissa Mangam",2024,Indian Journal of Pharmacy Practice,"Health care, Safeguarding, Context (archaeology), Transformative learning, Medicine, Public relations, Knowledge management, Psychology, Nursing, Computer science, Political science, Paleontology, Biology, Law, Pedagogy",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","As the review work unfolds, it scrutinizes the challenges that must be surmounted to effectively implement AI-driven communication solutions in healthcare settings while casting a visionary gaze into the future, discerning the uncharted horizons where AI might further elevate healthcare communication."
"Generative AI in healthcare: an implementation science informed translational path on application, integration and governance",Sandeep Reddy,2024,Implementation Science,"Health care, Health informatics, Generative grammar, Knowledge management, Health administration, Corporate governance, Process management, Medicine, Artificial intelligence, Computer science, Public health, Business, Nursing, Political science, Finance, Law",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","As these models continue advancing rapidly, ongoing reassessment and transparent communication around their strengths and weaknesses remain vital to restoring trust, realizing positive potential and, most importantly, improving patient outcomes."
Digital health literacy: A concept analysis,"Suyeon Ban, Yirang Kim, GyeongAe Seomun",2024,Digital Health,"Health literacy, Digital health, eHealth, Literacy, Digital literacy, Terminology, CINAHL, Context (archaeology), Knowledge management, Psychological intervention, Psychology, Public relations, Health care, Computer science, Medicine, Political science, Pedagogy, Nursing, Geography, Philosophy, Linguistics, Law, Archaeology",8,Machine Learning in Clinical Data Analysis,"By enhancing our understanding of digital health literacy; standardising its terminology; and exploring the interactions among its antecedents, consequences and influencing factors, this study aims to reduce health disparities and promote equitable health in the digital era."
Integrating digital and interactive approaches in adolescent health literacy: a comprehensive review,"Stefania Mancone, Stefano Corrado, Beatrice Tosti, Giuseppe Spica, Pierluigi Diotaiuti",2024,Frontiers in Public Health,"Health literacy, Digital health, Digital literacy, Literacy, Mental health, Knowledge management, Health care, Public relations, Computer science, Psychology, Medical education, Medicine, Pedagogy, Political science, Psychotherapist, Law",15,Artificial Intelligence in Healthcare Systems,We propose a multidimensional approach to health literacy education that incorporates innovative technologies and interactive methods to meet the diverse needs of adolescents in various contexts.
Explainable AI (XAI) in healthcare: Enhancing trust and transparency in critical decision-making,"Adewale Abayomi Adeniran, Amaka Peace Onebunne, Paul William",2024,World Journal of Advanced Research and Reviews,"Transparency (behavior), Health care, Business, Knowledge management, Computer science, Political science, Computer security, Law",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","However, the opacity of many advanced AI models, often described as ""black boxes,"" creates challenges in adoption due to concerns around trust, transparency, and interpretability, particularly in high-stakes environments like healthcare."
Artificial intelligence in mental healthcare: transformative potential vs. the necessity of human interaction,"Anithamol Babu, Akhil P. Joseph",2024,Frontiers in Psychology,"Mental health, Psychology, Health care, Medical diagnosis, Anxiety, Transformative learning, Psychiatry, Medicine, Developmental psychology, Economic growth, Economics, Pathology",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","According to the World Health Organization, AI&#39;s potential to reduce disparities in mental healthcare can only be realized if these systemic barriers are addressed alongside the deployment of AI-driven solutions (Khan et al., 2023).One of the significant advantages of AI in mental healthcare is its capacity for real-time monitoring and predictive analytics, particularly in managing chronic conditions like mood disorders, and schizophrenia (Thakkar et al., 2024)."
"The role of explainability and transparency in fostering trust in AI healthcare systems: a systematic literature review, open issues and potential solutions","Christopher Ifeanyi Eke, Liyana Shuib",2024,Neural Computing and Applications,"Transparency (behavior), Computational Science and Engineering, Health care, Computer science, Healthcare system, Data science, Computer security, Machine learning, Political science, Law",9,Viral Diseases & Molecular Medicine,No abstract available
Innovation and challenges of artificial intelligence technology in personalized healthcare,"Yu-Hao Li, Yulin Li, Mu-Yang Wei, Guangyu Li",2024,Scientific Reports,"Health care, Data science, Computer science, Personalized medicine, Knowledge management, Bioinformatics, Biology, Political science, Law",9,Viral Diseases & Molecular Medicine,No abstract available
Artificial Intelligence and Machine Learning Techniques for Anomaly Detection and Threat Mitigation in Cloud-Connected Medical Devices,"Omolola Akinola, Akintunde Akinola, Ifenna Victor Ifeanyi, Omowunmi Oyerinde, Oyedele Joseph Adewole, Busola Sulaimon, Busola Sulaimon",2024,International Journal of Innovative Science and Research Technology (IJISRT),"Anomaly detection, Cloud computing, Computer science, Computer security, Artificial intelligence, Operating system",14,Digital Health Interventions in Populations,"Through the employment of these strategies, healthcare units will become better able to detect and halt any form of threat and as a consequence patients’ data will be protected, devices will continue operating effectively, and eventually patients’ safety and healthcare units will benefit and gain trust from patients."
"Digital Health Literacy and Its Association With Sociodemographic Characteristics, Health Resource Use, and Health Outcomes: Rapid Review","Eva Yuen, Natalie Winter, Feby Savira, Catherine E. Huggins, Lemai Nguyen, Paul Cooper, Anna Peeters, Kate Anderson, Rahul Bhoyroo, Sarah Crowe, Anna Ugalde",2024,Interactive Journal of Medical Research,"Health literacy, Literacy, Digital health, Association (psychology), Resource (disambiguation), Set (abstract data type), Environmental health, Psychology, Computer science, Medicine, Health care, Political science, Pedagogy, Law, Psychotherapist, Computer network, Programming language",8,Machine Learning in Clinical Data Analysis,"Empowering individuals with the skills to critically access and appraise reliable health information on digital platforms and devices is critical, given emerging evidence that suggests that those with low digital health literacy seek health information from unreliable sources."
An introduction to digital determinants of health,"Swathikan Chidambaram, Bhav Jain, Urvish Jain, Rogers Mwavu, Rama Baru, Beena Thomas, Felix Greaves, Shruti Jayakumar, Pankaj Jain, Marina Rojo, Marina Ridao Battaglino, John G. Meara, Viknesh Sounderajah, Leo Anthony Celi, Ara Darzi",2024,PLOS Digital Health,"Digital health, Health care, Work (physics), Social determinants of health, Public relations, Digital divide, Digital literacy, Telemedicine, Knowledge management, Computer science, Information and Communications Technology, Political science, Business, Engineering, Economic growth, Economics, World Wide Web, Mechanical engineering",8,Machine Learning in Clinical Data Analysis,"This paper will, for the first time, propose a definition of DDOH and provide a conceptual model characterizing its influence on healthcare outcomes."
Factors influencing digital health literacy among older adults: a scoping review,"Zhen Shi, Xixi Du, Juan Li, Rongting Hou, Jianghao Sun, Thammarat Marohabutr",2024,Frontiers in Public Health,"Health literacy, Digital health, Gerontology, Medicine, Literacy, Psychology, Health care, Political science, Pedagogy, Law",15,Artificial Intelligence in Healthcare Systems,"The digital divide among older adults should be bridged by improving social capital and family support through integrated intervention roles of government, community, and family."
Artificial Intelligence (AI) and Machine Learning (ML) for Healthcare and Health Sciences: The Need for Best Practices Enabling Trust in AI and ML,"Constantin Aliferis, György Simon",2024,Health informatics,"Health care, Artificial intelligence, Computer science, Knowledge management, Psychology, Data science, Political science, Law",11,Digital Health Data Analytics & Research Methods,"We introduce high-level requirements for biomedical AI/ML and 7 dimensions of trust, acceptance and ultimately adoption, which serve as the driving principles of the present volume."
Impact of artificial intelligence on health information literacy: guidance for healthcare professionals,Moyosore Adegboye,2024,Library Hi Tech News,"Health care, Knowledge management, Agency (philosophy), Context (archaeology), Health literacy, Public relations, Psychology, Computer science, Sociology, Political science, Social science, Law, Paleontology, Biology",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","Purpose This paper aims to explore the intricate relationship between artificial intelligence (AI) and health information literacy (HIL), examining the rise of AI in health care, the intersection of AI and HIL and the imperative for promoting AI literacy and integrating it with HIL."
Optimized Tiny Machine Learning and Explainable AI for Trustable and Energy-Efficient Fog-Enabled Healthcare Decision Support System,"R. Arthi, S. Krishnaveni",2024,International Journal of Computational Intelligence Systems,"Computer science, Health care, Artificial intelligence, Decision support system, Energy (signal processing), Machine learning, Mathematics, Economics, Economic growth, Statistics",9,Viral Diseases & Molecular Medicine,No abstract available
THE ROLE OF ARTIFICIAL INTELLIGENCE IN HEALTHCARE: A SYSTEMATIC REVIEW OF APPLICATIONS AND CHALLENGES,"Francisca Chibugo Udegbe, Ogochukwu Roseline Ebulue, Charles Chukwudalu Ebulue, Chukwunonso Sylvester Ekesiobi",2024,International Medical Science Research Journal,"Health care, Computer science, Political science, Law",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","This paper presents a systematic review of the role of Artificial Intelligence (AI) in healthcare, highlighting its applications and challenges."
Unveiling the black box: A systematic review of Explainable Artificial Intelligence in medical image analysis,"Dost Muhammad, Malika Bendechache",2024,Computational and Structural Biotechnology Journal,"Black box, Artificial intelligence, Image (mathematics), Computer science",5,Infectious Diseases (HIV & Lung Infections),"This paper aims to bridge the gap between cutting-edge computational techniques and their practical application in healthcare, nurturing a more transparent, trustworthy, and effective use of AI in medical settings."
The Promise of Explainable AI in Digital Health for Precision Medicine: A Systematic Review,Ben Allen,2024,Journal of Personalized Medicine,"Transparency (behavior), Precision medicine, Computer science, Health care, Data science, Digital health, Artificial intelligence, Accountability, Domain (mathematical analysis), Big data, Applications of artificial intelligence, Deep learning, Healthcare delivery, Medicine, Data mining, Political science, Mathematics, Pathology, Mathematical analysis, Computer security, Law",5,Infectious Diseases (HIV & Lung Infections),"Leveraging a topic-modeling approach, this paper distills the key themes of 27 journal articles."
Prompt Engineering in Large Language Models,"Ggaliwango Marvin, Nakayiza Hellen, Daudi Jjingo, Joyce Nakatumba‐Nabende",2024,Algorithms for intelligent systems,"Computer science, Process (computing), Quality (philosophy), Function (biology), Artificial intelligence, Programming language, Evolutionary biology, Epistemology, Philosophy, Biology",9,Viral Diseases & Molecular Medicine,No abstract available
Research on Artificial-Intelligence-Assisted Medicine: A Survey on Medical Artificial Intelligence,"Fangfang Gou, Jun Liu, Chunwen Xiao, Jia Wu",2024,Diagnostics,"Artificial intelligence, Psychology, Computer science, Data science",7,Healthcare Services & Patient Care Research,"This study elaborates on AI development history and development timelines in the medical field, types of AI technologies in healthcare informatics, the application of AI in the medical field, and opportunities and challenges of AI in the field of medicine."
"Explainability, transparency and black box challenges of AI in radiology: impact on patient care in cardiovascular radiology","Ahmed Marey, Parisa Arjmand, Ameerh Dana Sabe Alerab, Mohammad Eslami, Abdelrahman M. Saad, Nicole Sanchez, Muhammad Umair",2024,The Egyptian Journal of Radiology and Nuclear Medicine,"Medicine, Transparency (behavior), Radiology, Black box, Patient care, Medical emergency, Nursing, Computer security, Artificial intelligence, Computer science",9,Viral Diseases & Molecular Medicine,No abstract available
"Artificial intelligence, ChatGPT, and other large language models for social determinants of health: Current state and future directions","Jasmine Chiat Ling Ong, Jun Jie Benjamin Seng, Jeren Zheng Feng Law, Lian Leng Low, Andrea Lay‐Hoon Kwa, Kathleen M. Giacomini, Daniel Shu Wei Ting",2024,Cell Reports Medicine,"Disinformation, Transformative learning, Social determinants of health, Public relations, Health care, Health equity, Political science, Global health, Standardization, Social media, Economic growth, Engineering ethics, Psychology, Economics, Engineering, Pedagogy, Law",8,Machine Learning in Clinical Data Analysis,We propose the need for a multitiered approach to digital inclusion as an SDOH and the development of ethical and responsible AI practice frameworks globally and provide suggestions on bridging the gap from development to implementation of equitable AI technologies.
Healthcare Voice AI Assistants: Factors Influencing Trust and Intention to Use,"Xiao Zhan, Noura Abdi, William Seymour, José M. Such",2024,Proceedings of the ACM on Human-Computer Interaction,"Computer science, Health care, Credibility, Quality (philosophy), Healthcare service, Health professionals, Domain (mathematical analysis), Service (business), Internet privacy, Business, Epistemology, Philosophy, Economics, Political science, Mathematical analysis, Mathematics, Law, Marketing, Economic growth",5,Infectious Diseases (HIV & Lung Infections),"This study explores the effects of different functional, personal, and risk factors on trust in and adoption of healthcare voice AI assistants (HVAs), generating a partial least squares structural model from a survey of 300 voice assistant users."
AI-Generated Draft Replies Integrated Into Health Records and Physicians’ Electronic Communication,"Ming Tai-Seale, Sally L. Baxter, Florin Vaida, Amanda Walker, Amy M. Sitapati, Chad Osborne, J. Espinosa Díaz, Nimit Desai, Sophie Webb, Gregory Polston, Teresa Helsten, Erin Gross, Jessica Thackaberry, Ammar Mandvi, Dustin Lillie, Steve Li, Geneen T Gin, Suraj Achar, Heather Hofflich, Christopher Sharp, Marlene Millen, Chris Longhurst",2024,JAMA Network Open,"Randomized controlled trial, Medicine, Reading (process), Family medicine, Intervention (counseling), Nursing, Internal medicine, Law, Political science",13,Patient Monitoring & Chronic Disease Management,"In this QI study, GenAI-drafted replies were associated with significantly increased read time, no change in reply time, significantly increased reply length, and some perceived benefits."
"A Systematic Review and Meta-Analysis of Artificial Intelligence Tools in Medicine and Healthcare: Applications, Considerations, Limitations, Motivation and Challenges","Hussain A. Younis, Taiseer Abdalla Elfadil Eisa, Maged Nasser, Thaeer Mueen Sahib, Ameen A. Noor, Osamah Mohammed Alyasiri, Sani Salisu, Israa M. Hayder, Hameed A. Younis, Hameed AbdulKareem Younis, Hameed AbdulKareem Younis",2024,Diagnostics,"Transformative learning, Health care, Medical education, Applications of artificial intelligence, Knowledge management, Psychology, Medicine, Engineering ethics, Computer science, Artificial intelligence, Engineering, Political science, Pedagogy, Law",19,Medical Data Modeling & Predictive Healthcare,"Additionally, this study serves as a guide, assisting students, academics, and researchers in the field of medicine and healthcare alike."
Human-Computer Interaction: A Literature Review of Artificial Intelligence and Communication in Healthcare,"T Clay, Zachary Steel, Chris Jacobs",2024,Cureus,"CLARITY, Empathy, Health care, Medicine, Transformative learning, Generative grammar, Artificial intelligence, Computer science, Psychology, Biochemistry, Psychiatry, Economics, Economic growth, Chemistry, Pedagogy",9,Viral Diseases & Molecular Medicine,No abstract available
The Importance of Digital Health Literacy in an Evolving Parkinson’s Disease Care System,"Christine D. Esper, Blanca Valdovinos, Ruth B. Schneider",2024,Journal of Parkinson s Disease,"Digital health, Pace, Health care, Health literacy, Telehealth, Digital literacy, Disease, Literacy, Wearable computer, Wearable technology, Telemedicine, Medicine, Internet privacy, Psychology, Computer science, Political science, World Wide Web, Geography, Pedagogy, Law, Pathology, Embedded system, Geodesy",8,Machine Learning in Clinical Data Analysis,"In this review, we discuss the potential challenges of low digital health literacy in PD with particular attention to telehealth, deep brain stimulation, wearable sensors, and smartphone applications."
"Digital Health Literacy of the Population in Germany and Its Association With Physical Health, Mental Health, Life Satisfaction, and Health Behaviors: Nationally Representative Survey Study","Lars König, Adelheid Kuhlmey, Ralf Suhr",2024,JMIR Public Health and Surveillance,"Mental health, Health literacy, Environmental health, Life satisfaction, Association (psychology), Public health, Psychology, Physical health, Gerontology, Medicine, Health care, Psychiatry, Political science, Social psychology, Nursing, Law, Psychotherapist",15,Artificial Intelligence in Healthcare Systems,"Overall, the results of this study demonstrate that digital health literacy is associated with diverse health outcomes and behaviors."
A framework for human evaluation of large language models in healthcare derived from literature review,"Thomas Yu Chow Tam, Sonish Sivarajkumar, Sumit Kapoor, Alisa V Stolyar, Katelyn Polanska, Karleigh R McCarthy, Hunter Osterhoudt, Xizhi Wu, Shyam Visweswaran, Sunyang Fu, Piyush Mathur, Giovanni Cacciamani, Cong Sun, Yifan Peng, Yanshan Wang",2024,npj Digital Medicine,"Generalizability theory, Health care, Quality (philosophy), Adjudication, Harm, Computer science, Management science, Psychology, Engineering, Political science, Philosophy, Developmental psychology, Epistemology, Law, Social psychology",9,Viral Diseases & Molecular Medicine,No abstract available
Ethical Challenges and Solutions of Generative AI: An Interdisciplinary Perspective,"Mousa Al-kfairy, Dheya Mustafa, Nir Kshetri, Mazen Insiew, Omar Alfandi",2024,Informatics,"Perspective (graphical), Generative grammar, Engineering ethics, Epistemology, Sociology, Psychology, Management science, Computer science, Artificial intelligence, Philosophy, Engineering",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","This paper conducts a systematic review and interdisciplinary analysis of the ethical challenges of generative AI technologies (N = 37), highlighting significant concerns such as privacy, data protection, copyright infringement, misinformation, biases, and societal inequalities."
Foundation metrics for evaluating effectiveness of healthcare conversations powered by generative AI,"Mahyar Abbasian, Elahe Khatibi, Iman Azimi, David Oniani, Zahra Shakeri Hossein Abad, Alexander Thieme, Ram D. Sriram, Zhongqi Yang, Yanshan Wang, Bryant Lin, Olivier Gevaert, Li-Jia Li, Ramesh Jain, Amir M. Rahmani",2024,npj Digital Medicine,"Health care, Computer science, Personalization, Set (abstract data type), Process (computing), Comprehension, Human–computer interaction, World Wide Web, Economics, Programming language, Economic growth, Operating system",9,Viral Diseases & Molecular Medicine,No abstract available
"Transforming Healthcare with AI: Promises, Pitfalls, and Pathways Forward",Ali Shuaib,2024,International Journal of General Medicine,"Medicine, Health care, Critical pathways, Data science, Computational biology, Bioinformatics, Process management, Economic growth, Computer science, Biology, Business, Economics",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","By integrating insights from evidence, research, and real-world examples, it offers a balanced analysis of AI's capabilities and limitations, emphasizing its role in streamlining administrative processes, enhancing patient care, and reducing physician burnout while maintaining a human-centric approach in medicine."
AI and human-robot interaction: A review of recent advances and challenges,"Alexander Obaigbena, Oluwaseun Augustine Lottu, Ejike David Ugwuanyi, Boma Sonimitiem Jacks, Enoch Oluwademilade Sodiya, Obinna Donald Daraojimba, Oluwaseun Augustine Lottu",2024,GSC Advanced Research and Reviews,"Human–computer interaction, Human–robot interaction, Computer science, Robot, Data science, Artificial intelligence",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","As researchers continue to innovate, the dynamic landscape of AI and human-robot interaction promises a future where seamless collaboration and coexistence between humans and robots become an integral part of our societal fabric."
Revolutionizing community health literacy: The power of digital health tools in rural areas of the US and Africa,"Chukwudi Cosmos Maha, Tolulope Olagoke Kolawole, Samira Abdul",2024,GSC Advanced Research and Reviews,"Health care, Digital health, Health literacy, Telemedicine, Business, Literacy, The Internet, Digital divide, Public relations, Medicine, Internet privacy, Computer science, World Wide Web, Political science, Law",10,Mobile Health (mHealth) Applications & Health Apps,"In rural areas of the United States, digital health tools have the potential to bridge the gap between patients and healthcare providers, especially for those living in remote areas with limited access to healthcare facilities."
"Examining the impact of personalization and carefulness in AI-generated health advice: Trust, adoption, and insights in online healthcare consultations experiments","Hongyi Qin, Yifan Zhu, Yan Jiang, Siqi Luo, Cui Huang",2024,Technology in Society,"Personalization, Advice (programming), Health care, Psychology, Medical education, Public relations, Computer science, Medicine, World Wide Web, Political science, Programming language, Law",5,Infectious Diseases (HIV & Lung Infections),"Therefore, this study presents evidence from two between-subjects experiments."
Artificial Intelligence (AI) and Health Communication Policy in Nigeria: Challenges and Prospects,N. B. Ezeaka,2024,Journal of Advanced Research and Multidisciplinary Studies,"Political science, Psychology, Engineering ethics, Engineering",4,Public Health & Digital Healthcare Systems,This study analyzed current health communication policies to pinpoint areas where AI-driven approaches are yet to be addressed.
The Role of Digital Health Technologies on Maternal Health Literacy,"Roxane Van Hauwaert, Ana Rita Mateus, Ana Luísa Coutinho, Joana Rodrigues, Ana Rita Martins, Fernanda Vilela, Diana Patrícia de Castro Almeida",2024,Advances in healthcare information systems and administration book series,"Health literacy, Digital health, Health care, Literacy, Health equity, Telehealth, Public relations, Health education, Political science, Medicine, Internet privacy, Psychology, Telemedicine, Computer science, Pedagogy, Law",15,Artificial Intelligence in Healthcare Systems,The findings highlight the role of digital health in maternal health literacy and the importance of inclusive and culturally sensitive approaches.
"A Survey on Intelligent Internet of Things: Applications, Security, Privacy, and Future Directions","Ons Aouedi, Thai-Hoc Vu, Alessio Sacco, Dinh C. Nguyen, Kandaraj Piamrat, Guido Marchetto, Quoc‐Viet Pham",2024,IEEE Communications Surveys & Tutorials,"Computer science, Computer security, Confidentiality, Internet of Things, Key (lock), Intrusion detection system, Information privacy, Industrial Internet, Internet privacy",11,Digital Health Data Analytics & Research Methods,"This paper presents a comprehensive survey of IIoT by investigating its significant applications in mobile networks, as well as its associated security and privacy issues."
Explainable Artificial Intelligence (XAI) in Healthcare: Enhancing Transparency and Trust,"Jaishankar Inukonda, Vidya Rajasekhara Reddy Tetala, Jayanna Hallur -",2024,International Journal For Multidisciplinary Research,"Transparency (behavior), Health care, Business, Computer science, Artificial intelligence, Computer security, Political science, Law",5,Infectious Diseases (HIV & Lung Infections),"However, most of these models are per se opaque-that is, the so-called ""black-box"" problem-there are still great challenges in areas such as transparency, trust, and ethical applications in a clinical setting."
Cardiovascular care with digital twin technology in the era of generative artificial intelligence,"Phyllis Thangaraj, S. Benson, Evangelos K. Oikonomou, Folkert W. Asselbergs, Rohan Khera",2024,European Heart Journal,"Medicine, Artificial intelligence, Modalities, Personalized medicine, Precision medicine, Data science, Generative grammar, Digital health, Big data, Machine learning, Workflow, Health care, Computer science, Bioinformatics, Data mining, Pathology, Biology, Social science, Economics, Database, Economic growth, Sociology",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","Current applications of cardiovascular digital twins have integrated multi-modal data into mechanistic and statistical models to build physiologically accurate cardiac replicas to enhance disease phenotyping, enrich diagnostic workflows, and optimize procedural planning."
Regulatory Aspects of Artificial Intelligence and Machine Learning,"Liron Pantanowitz, Matthew G. Hanna, Joshua Pantanowitz, Joe Lennerz, Walter H. Henricks, Peter U.F. Shen, Bruce Quinn, Shannon Bennet, Hooman H. Rashidi",2024,Modern Pathology,"Pathology, Medical physics, Medicine",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","This study covers regional and global regulatory aspects of AI-ML including data privacy, software as a medical device, agency approval and clearance pathways, reimbursement, and laboratory-developed tests."
AI-enabled chatbots healthcare systems: an ethical perspective on trust and reliability,"Iqra Basharat, Subhan Shahid",2024,Journal of Health Organization and Management,"Perspective (graphical), Reliability (semiconductor), Health care, Healthcare system, Psychology, Engineering ethics, Computer science, Sociology, Knowledge management, Political science, Engineering, Artificial intelligence, Physics, Law, Quantum mechanics, Power (physics)",19,Medical Data Modeling & Predictive Healthcare,Purpose The primary objective of this study is to investigate the ethical implications of deploying AI-enabled chatbots in the healthcare sector.
Generative-AI-Driven Human Digital Twin in IoT Healthcare: A Comprehensive Survey,"Jiayuan Chen, You Shi, Changyan Yi, Hongyang Du, Jiawen Kang, Dusit Niyato",2024,IEEE Internet of Things Journal,"Computer science, Generative grammar, Health care, Internet of Things, Data science, Artificial intelligence, Human–computer interaction, Machine learning, World Wide Web, Economics, Economic growth",16,"Large Language Models in Healthcare (ChatGPT, LLMs)","Meanwhile, the human digital twin (HDT) is proposed as an innovative paradigm that can comprehensively characterize the replication of the individual human body in the digital world and reflect its physical status in real time."
