title,authors,pub_year,journal,doi,pmid,abstract,country,keywords,raw_affiliation_recovered
"Associations between digital literacy, health literacy, and digital health behaviors among rural residents: evidence from Zhejiang, China","Hao Ji, Junqiang Dong, Weiguang Pan, Yingying Yu",2024,International Journal for Equity in Health,https://doi.org/10.1186/s12939-024-02150-2,https://pubmed.ncbi.nlm.nih.gov/38594723,"The findings suggest that policymakers should implement targeted measures aimed at enhancing digital literacy and health literacy among rural residents. This approach is crucial for improving rural residents' access to digital health services, thereby mitigating urban-rural health inequality.",CN,"Health literacy, Digital health, Literacy, Diversity (politics), Public health, Environmental health, Medicine, Psychology, Health care, Political science, Nursing, Pedagogy, Law",
AI-Driven Natural Language Processing in Healthcare: Transforming Patient-Provider Communication,"Prakash Nathaniel Kumar Sarella, Vinny Therissa Mangam",2024,Indian Journal of Pharmacy Practice,https://doi.org/10.5530/ijopp.17.1.4,,"Abstract: Healthcare communication is the lifeblood of effective patient care. The ability of patients and providers to exchange information, comprehends diagnoses, and collaboratively make decisions directly influences healthcare outcomes. In this context, AI-powered NLP has emerged as an invaluable agent of change, revolutionizing the way medical information is conveyed, understood, and acted upon. Through a comprehensive exploration, this review article unpacks the multifaceted facets of AI's role in healthcare communication. It begins by elucidating the essence of AI-powered NLP, providing readers with a foundational understanding of these transformative technologies. Subsequently, it delves into the myriad benefits that AI brings to the table, ranging from improved patient engagement and accessibility to streamlined clinical documentation and augmented diagnosis and treatment support. However, it's not all progress without pause. This review also delves into the ethical considerations intrinsic to AI in healthcare communication, such as safeguarding patient privacy and addressing bias and equity concerns. As the review work unfolds, it scrutinizes the challenges that must be surmounted to effectively implement AI-driven communication solutions in healthcare settings while casting a visionary gaze into the future, discerning the uncharted horizons where AI might further elevate healthcare communication. Keywords: AI, healthcare, Natural Language Processing, Patient Experience, Patient-Provider Communication, Quality of Care",IN,"Health care, Safeguarding, Context (archaeology), Transformative learning, Medicine, Public relations, Knowledge management, Psychology, Nursing, Computer science, Political science, Paleontology, Biology, Law, Pedagogy",
"Generative AI in healthcare: an implementation science informed translational path on application, integration and governance",Sandeep Reddy,2024,Implementation Science,https://doi.org/10.1186/s13012-024-01357-9,https://pubmed.ncbi.nlm.nih.gov/38491544,"It is strongly argued in this article that generative AI can usher in tremendous healthcare progress, if introduced responsibly. Strategic adoption based on implementation science, incremental deployment and balanced messaging around opportunities versus limitations helps promote safe, ethical generative AI integration. Extensive real-world piloting and iteration aligned to clinical priorities should drive development. With conscientious governance centred on human wellbeing over technological novelty, generative AI can enhance accessibility, affordability and quality of care. As these models continue advancing rapidly, ongoing reassessment and transparent communication around their strengths and weaknesses remain vital to restoring trust, realizing positive potential and, most importantly, improving patient outcomes.",AU,"Health care, Health informatics, Generative grammar, Knowledge management, Health administration, Corporate governance, Process management, Medicine, Artificial intelligence, Computer science, Public health, Business, Nursing, Political science, Finance, Law",
Digital health literacy: A concept analysis,"Suyeon Ban, Yirang Kim, GyeongAe Seomun",2024,Digital Health,https://doi.org/10.1177/20552076241287894,https://pubmed.ncbi.nlm.nih.gov/39381807,"By enhancing our understanding of digital health literacy; standardising its terminology; and exploring the interactions among its antecedents, consequences and influencing factors, this study aims to reduce health disparities and promote equitable health in the digital era. The results of this foundational work, which establishes a basis for future research and policy development, provide clear pathways for developing targeted interventions and measurement tools of digital health literacy, ultimately contributing to better health practices.",KR,"Health literacy, Digital health, eHealth, Literacy, Digital literacy, Terminology, CINAHL, Context (archaeology), Knowledge management, Psychological intervention, Psychology, Public relations, Health care, Computer science, Medicine, Political science, Pedagogy, Nursing, Geography, Philosophy, Linguistics, Law, Archaeology",
Integrating digital and interactive approaches in adolescent health literacy: a comprehensive review,"Stefania Mancone, Stefano Corrado, Beatrice Tosti, Giuseppe Spica, Pierluigi Diotaiuti",2024,Frontiers in Public Health,https://doi.org/10.3389/fpubh.2024.1387874,https://pubmed.ncbi.nlm.nih.gov/39444982,"Adolescent health literacy is critical for navigating the complex landscape of modern healthcare and making informed decisions that influence long-term health outcomes. This comprehensive review synthesizes current research on integrating digital tools and interactive learning approaches to enhance health literacy among adolescents. We explore the use of digital technologies, such as mobile apps and virtual reality, which cater to the preferences of this tech-savvy generation, offering personalized and accessible health information. The effectiveness of interactive learning methodologies, including simulations and role-playing, is also examined, highlighting their potential to increase engagement and retention of health-related knowledge. We address the importance of mental health literacy and the role of social media and peer education in disseminating health information effectively. Our review identifies gaps in the current literature, particularly the need for studies that consider long-term outcomes and the impact of socioeconomic and cultural factors on health literacy initiatives. We propose a multidimensional approach to health literacy education that incorporates innovative technologies and interactive methods to meet the diverse needs of adolescents in various contexts. The findings suggest that an integrated approach, including digital and critical health literacy, is essential for developing comprehensive health education programs that are both informative and engaging for adolescents.",IT,"Health literacy, Digital health, Digital literacy, Literacy, Mental health, Knowledge management, Health care, Public relations, Computer science, Psychology, Medical education, Medicine, Pedagogy, Political science, Psychotherapist, Law",
Explainable AI (XAI) in healthcare: Enhancing trust and transparency in critical decision-making,"Adewale Abayomi Adeniran, Amaka Peace Onebunne, Paul William",2024,World Journal of Advanced Research and Reviews,https://doi.org/10.30574/wjarr.2024.23.3.2936,,"The integration of artificial intelligence (AI) in healthcare is revolutionizing diagnostic and treatment procedures, offering unprecedented accuracy and efficiency. However, the opacity of many advanced AI models, often described as ""black boxes,"" creates challenges in adoption due to concerns around trust, transparency, and interpretability, particularly in high-stakes environments like healthcare. Explainable AI (XAI) addresses these concerns by providing a framework that not only achieves high performance but also offers insight into how decisions are made. This research explores the application of XAI techniques in healthcare, focusing on critical areas such as disease diagnostics, predictive analytics, and personalized treatment recommendations. The study will analyse various XAI methods, including model-agnostic approaches (LIME, SHAP), interpretable deep learning models, and domain-specific applications of XAI. It also evaluates the ethical implications, such as accountability and bias mitigation, and how XAI can foster collaboration between clinicians and AI systems. Ultimately, the goal is to create AI systems that are both powerful and trustworthy, promoting broader adoption in the healthcare sector while ensuring ethical and safe outcomes for patients.",Unknown,"Transparency (behavior), Health care, Business, Knowledge management, Computer science, Political science, Computer security, Law",
Artificial intelligence in mental healthcare: transformative potential vs. the necessity of human interaction,"Anithamol Babu, Akhil P. Joseph",2024,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2024.1378904,https://pubmed.ncbi.nlm.nih.gov/39742049,"However, while AI offers promise for improving diagnostic precision, it has limitations, as its accuracy depends on the quality of the data it is trained on. Incomplete or biased datasets can lead to significant diagnostic errors, particularly in diverse populations, by misinterpreting symptoms or overlooking the complexity of mental health conditions. This risk is especially pronounced in mental health, where inappropriate treatments can severely impact patient wellbeing (Yan et al., 2023). For instance, a study in Ethiopia found that 39.16% of patients with severe psychiatric disorders were misdiagnosed, with rates higher among non-specialists (Ayano et al., 2021). Similarly, a Canadian study reported high misdiagnosis rates among 840 primary care patients: 65.9% for major depressive disorder, 92.7% for bipolar disorder, and over 70% for anxiety disorders (Vermani et al., 2011). Such findings underscore the inherent challenges in mental health diagnosis, which often relies on subjective doctor-patient interactions prone to inaccuracy (Yan et al., 2023). Moreover, a shortage of psychiatrists, particularly in developing countries, exacerbates the issue (Sholevar et al., 2017). In contrast, machine-based diagnoses offer several advantages, including conserving human resources, increasing efficiency, enabling large-scale assessments, and potentially reducing stigma (Uede et al., 2024); however, over-reliance on AI without adequate human oversight risks perpetuating, rather than resolving, existing issues in mental healthcare. While AI enhances diagnostics through real-time data and predictive modelling, it must be complemented by the clinical judgment of experienced professionals, as it cannot fully capture the complexity of human emotions, behaviors, and cultural factors (Graham et al., 2019;Loscalzo et al., 2017;Khare et al., 2024). Clinicians must ensure AI remains a supportive tool, not a replacement, and address risks like biased data to safeguard patient care quality (Ueda et al., 2024).The issue of accessibility in mental healthcare is a pressing concern, as many individuals, particularly in underserved or rural areas, struggle to access qualified mental health professionals (Morales et al., 2020). Despite the growing awareness of mental health issues, barriers such as high costs, long wait times, and overburdened healthcare systems make therapy inaccessible for a significant portion of the population (Kourgiantakis et al., 2023). This is where AI&#39;s role as a democratizing force becomes particularly relevant. AI-driven mental health platforms, like Woebot and Wysa, offer cost-effective alternatives to traditional therapy by providing digital interventions, particularly in cognitive-behavioral therapy (Haque &amp; Rubya, 2023). These platforms can scale therapeutic support, delivering ongoing mental healthcare to individuals who may otherwise be left without any form of assistance due to financial constraints or geographic limitations, especially where human therapists are scarce (Fitzpatrick et al., 2017).However, the belief that AI will automatically democratize mental healthcare is overly optimistic and overlooks substantial challenges. While AI platforms can offer scalable solutions, they fail to address systemic issues related to the digital divide. Many rural and lowincome populations lack the technological infrastructure-such as reliable internet access, smart devices, and digital literacy-needed to benefit from AI-driven mental health interventions (Kozelka et al., 2024). Without addressing these foundational disparities, AI cannot effectively bridge the mental healthcare gap and may, instead, deepen existing inequalities. Governments and healthcare providers must invest in AI platforms and in building the necessary infrastructure and providing digital education to ensure that the most vulnerable populations can engage with these tools. According to the World Health Organization, AI&#39;s potential to reduce disparities in mental healthcare can only be realized if these systemic barriers are addressed alongside the deployment of AI-driven solutions (Khan et al., 2023).One of the significant advantages of AI in mental healthcare is its capacity for real-time monitoring and predictive analytics, particularly in managing chronic conditions like mood disorders, and schizophrenia (Thakkar et al., 2024). AI systems can continuously track patients&#39; behavior, mood, and cognitive patterns, identifying early warning signs of relapse or deterioration before they become noticeable to clinicians (Cho et al., 2020). This enables early intervention, which can be crucial in preventing severe crises such as suicide attempts or hospitalizations. A study by Lee et al. (2021) found that AI systems could predict mood fluctuations and relapse risk in patients with mood disorders more accurately than human clinicians. By analyzing behavioral data and patient history, AI systems can foresee when a depressive episode is likely, allowing for tailored treatments or medication adjustments that can potentially alter the course of a patient&#39;s recovery. However, while these capabilities offer clear benefits, the psychological impact of continuous AI monitoring raises significant concerns that are often overlooked. Constant surveillance could lead to feelings of anxiety, hypervigilance, or even a loss of privacy, as patients might feel reduced to data points rather than being treated as individuals with complex emotional experiences (Joseph &amp; Babu, 2024). This can affect the therapeutic alliance between the patient and clinician, central to effective care. If patients perceive that their every behavior is being monitored by machines, the human connection fundamental to therapy may erode, creating a sense of detachment or mistrust (Prasko et al., 2022). The ethical implications of AI-driven monitoring must be critically examined, particularly regarding how it may shift the power dynamic in therapy, with patients feeling scrutinized by technology rather than supported by a human therapist. Maintaining human oversight and ensuring that AI supports, rather than undermines, the therapeutic relationship is essential (Alowais et al., 2023).Integrating AI into mental healthcare raises serious ethical concerns, particularly regarding data privacy and algorithmic bias, both of which pose significant challenges beyond the technological safeguards currently in place (Warrier et al., 2023). Mental health data is among the most sensitive types of personal information, and the risk of misuse or data breaches can have devastating consequences for patients, including stigmatization, loss of employment, or insurance discrimination (Seh et al., 2020). Despite strong privacy protections like encryption and anonymization, real-world cases such as the Vastaamo data breach in Finland, where 36,000 psychotherapy records were compromised, highlight the vulnerability of AI systems to exploitation (Ghanbari &amp; Koskinen, 2024;Inkster et al., 2023). As Gentili (2021) highlights, technological interventions in complex systems like the human mind create &#39;Bio-ethical Complexity,&#39; &#39;Bio-ethical Complexity&#39; raises concerns about relying solely on AI in mental healthcare, especially as cyberattack risks grow. While robust privacy measures must be continuously updated, human error and system flaws remain significant challenges.Algorithmic bias in AI systems necessitates thorough examination, as AI models reflect the biases present in their training data, often mirroring societal inequalities across race, gender, socioeconomic status, and culture. This bias can lead to skewed diagnoses and treatment recommendations, exacerbating healthcare disparities rather than alleviating them (Celi et al., 2022). Recent cases highlight AI bias in healthcare: a U.S. hospital algorithm assigned lower risk scores to Black patients than to white patients with similar health conditions, limiting their access to care (Ledford, 2019). Another case showed a skin cancer detection model misdiagnosing darker skin tones due to predominantly white training data, reducing accuracy for non-white patients (Krakowski et al., 2024. Such examples underscore that merely refining algorithm or incorporating diverse datasets is insufficient; systemic changes in data collection, interpretation, and application are required to capture a more comprehensive and equitable view of patient needs. AI&#39;s feedback loops can entrench biases, making them harder to eliminate over time (Ferrara, 2024). Addressing this requires not just diverse datasets but also identifying implicit biases and maintaining rigorous oversight. Without these measures, AI risks deepening, rather than reducing, healthcare disparities.AI&#39;s ability to analyze extensive datasets and detect patterns that may escape human therapists offers a significant advantage, particularly in areas such as diagnostic precision and individualized care. However, AI lacks the emotional intelligence and cultural sensitivity intrinsic to human therapists, whose expertise extends beyond data to include empathy, intuition, and non-verbal communication-all critical for effective mental healthcare (Minerva &amp; Giubilini, 2023). Excessive reliance on AI risks overshadowing the therapist&#39;s clinical judgment and intuition, potentially reducing therapy to a mechanistic process devoid of human warmth and understanding (Prasko et al., 2022). Over-dependence on AI can lead to &quot;automation bias,&quot; where clinicians place excessive trust in machine recommendations, which may erode their role as primary decision-makers and affect the quality of personalized care. While patient perspectives on AI are mixed-some appreciate its accessibility, while others feel it may compromise the human connection in therapy-these concerns underscore importance of implementing patient-centered AI tools that supplement, rather than replace, therapist-patient interactions (Ali et al., 2023;Sathyan et al., 2022). Explainable AI (XAI) tools, such as SHAP (Shapley Additive exPlanations) and LIME (Local Interpretable Model-Agnostic Explanations), address these challenges by providing transparency in AI decisionmaking, allowing therapists to understand and validate AI insights without fully relinquishing control, while continuous professional development ensures that therapists use AI as a supportive tool rather than allowing it to dominate their decisions (Ali et al., 2023;Minerva &amp; Giubilini, 2023). The future of AI-augmented therapy hinges on maintaining a balance between AI&#39;s precision and the therapist&#39;s empathy, fostering a collaborative model that enhances rather than diminishes the core relational elements of mental healthcare (Table 1). AI is a transformative force in mental healthcare, but its integration must balance technological precision with human empathy, ensuring that it complements, rather than replaces, the essential therapeutic relationship. As Topol (2019) notes, the convergence of AI and human intelligence has the potential to revolutionize healthcare by harnessing both systems&#39; strengths. Complexity Science suggests a holistic approach, integrating dimensions like ethical, philosophical, religious, cultural and emotional dimensions with technological innovations, ensuring empathy and precision coexist in mental health treatment. Addressing adoption complexities-such as regulation, scalability, cost, and practitioner acceptance-requires robust infrastructure, phased implementations, pilot programs, and AI-human collaboration models to ensure safety, privacy, and equitable access like Wysa&#39;s approach to privacy concerns and adaptability across languages and cultures (Dinesh et al., 2014). Long-term sustainability also demands updates, ethical oversight, and resources to prevent biases and inconsistent care. While AI benefits early intervention, it may affect the therapeutic alliance, with continuous monitoring risking feelings of surveillance. Thus, AI should remain a complementary tool, carefully integrated to preserve the emotional and relational elements essential to mental healthcare. This article calls for actionable steps-such as ethical AI investment and patient-centered design-to bridge human-AI gaps in mental healthcare.",IN,"Mental health, Psychology, Health care, Medical diagnosis, Anxiety, Transformative learning, Psychiatry, Medicine, Developmental psychology, Economic growth, Economics, Pathology",
"The role of explainability and transparency in fostering trust in AI healthcare systems: a systematic literature review, open issues and potential solutions","Christopher Ifeanyi Eke, Liyana Shuib",2024,Neural Computing and Applications,https://doi.org/10.1007/s00521-024-10868-x,,No abstract available,NG,"Transparency (behavior), Computational Science and Engineering, Health care, Computer science, Healthcare system, Data science, Computer security, Machine learning, Political science, Law",
Innovation and challenges of artificial intelligence technology in personalized healthcare,"Yu-Hao Li, Yulin Li, Mu-Yang Wei, Guangyu Li",2024,Scientific Reports,https://doi.org/10.1038/s41598-024-70073-7,https://pubmed.ncbi.nlm.nih.gov/39152194,No abstract available,CN,"Health care, Data science, Computer science, Personalized medicine, Knowledge management, Bioinformatics, Biology, Political science, Law",
Artificial Intelligence and Machine Learning Techniques for Anomaly Detection and Threat Mitigation in Cloud-Connected Medical Devices,"Omolola Akinola, Akintunde Akinola, Ifenna Victor Ifeanyi, Omowunmi Oyerinde, Oyedele Joseph Adewole, Busola Sulaimon, Busola Sulaimon",2024,International Journal of Innovative Science and Research Technology (IJISRT),https://doi.org/10.38124/ijisrt/ijisrt24mar1231,,"The Internet of Medical Things (IoMT) has begun functioning like this: improved patient monitoring and an easily accessible digital data warehouse. Despite that, this methodology of the internet will potentially have a counter balance which risks for patient data might involve hacking, data theft, and unauthorized access that may contain great consequences for patient privacy and safety. This article examines the possibility of utilizing new AI technology, including inter alia deep learning, unsupervised learning, and ensemble learning to further boost anomaly detection and threat management in connected cloud medical systems. Many old rules and approaches based on statistics lose relevancy versus the dynamics and unpredictability of modern cyberattacks. Identification of anomalies in cyber security is nearly unavoidable, and it should be the first and the last reaction for detecting irregularities in behavior that may indicate undesirable acts or attacks. The paper aims at understanding how AI/ML approaches can give more sophisticated and versatile interventions for finding out anomalies in cloud-attached medical machines. Moreover, this research details robust AI/ML methods such as the adversarial machine learning and reinforcement learning for a perfect threat mitigation. These techniques which activates machine learning models to learn from data continuing to adjust to new evolving threats and then to establish intelligent and proactive threat response systems. The data experiment, which focuses on relevant data sets, reveals that it is the AI/ML techniques that possess the upper hand over traditional methods when it comes to identifying anomalies and defending against threats for cloud- connected medical devices. Such finding expresses much significance for the healthcare industry, as it gives room for the inclusion of AI/ML techniques into the security systems of the medical devices, which are all connected to the cloud. Through the employment of these strategies, healthcare units will become better able to detect and halt any form of threat and as a consequence patients’ data will be protected, devices will continue operating effectively, and eventually patients’ safety and healthcare units will benefit and gain trust from patients.",Unknown,"Anomaly detection, Cloud computing, Computer science, Computer security, Artificial intelligence, Operating system",
